scenario,policy,origin_week,target_week,horizon,hub,category,ending_inventory
base,last_week,2018-05-28,2018-05-28,1,MG,auto,0.0
base,last_week,2018-05-28,2018-06-04,2,MG,auto,0.0
base,last_week,2018-05-28,2018-06-11,3,MG,auto,0.0
base,last_week,2018-05-28,2018-06-18,4,MG,auto,0.0
base,last_week,2018-05-28,2018-05-28,1,MG,bed_bath_table,0.0
base,last_week,2018-05-28,2018-06-04,2,MG,bed_bath_table,0.0
base,last_week,2018-05-28,2018-06-11,3,MG,bed_bath_table,0.0
base,last_week,2018-05-28,2018-06-18,4,MG,bed_bath_table,0.0
base,last_week,2018-05-28,2018-05-28,1,MG,computers_accessories,26.0
base,last_week,2018-05-28,2018-06-04,2,MG,computers_accessories,13.0
base,last_week,2018-05-28,2018-06-11,3,MG,computers_accessories,0.0
base,last_week,2018-05-28,2018-06-18,4,MG,computers_accessories,0.0
base,last_week,2018-05-28,2018-05-28,1,MG,furniture_decor,0.0
base,last_week,2018-05-28,2018-06-04,2,MG,furniture_decor,0.0
base,last_week,2018-05-28,2018-06-11,3,MG,furniture_decor,0.0
base,last_week,2018-05-28,2018-06-18,4,MG,furniture_decor,0.0
base,last_week,2018-05-28,2018-05-28,1,MG,garden_tools,0.0
base,last_week,2018-05-28,2018-06-04,2,MG,garden_tools,0.0
base,last_week,2018-05-28,2018-06-11,3,MG,garden_tools,0.0
base,last_week,2018-05-28,2018-06-18,4,MG,garden_tools,0.0
base,last_week,2018-05-28,2018-05-28,1,MG,health_beauty,0.0
base,last_week,2018-05-28,2018-06-04,2,MG,health_beauty,0.0
base,last_week,2018-05-28,2018-06-11,3,MG,health_beauty,0.0
base,last_week,2018-05-28,2018-06-18,4,MG,health_beauty,0.0
base,last_week,2018-05-28,2018-05-28,1,MG,housewares,6.0
base,last_week,2018-05-28,2018-06-04,2,MG,housewares,4.0
base,last_week,2018-05-28,2018-06-11,3,MG,housewares,2.0
base,last_week,2018-05-28,2018-06-18,4,MG,housewares,0.0
